Time,45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_0::Des Latent Heat Load [W],45413341C8FC2DF4_F0_DWELLING_0::Des Latent Cool Load [W],45413341C8FC2DF4_F0_DWELLING_0::Des Latent Heat Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_0::Des Latent Cool Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_0::Des Heat Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_0::Des Sens Cool Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_0::Des Latent Heat Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_0::Des Latent Cool Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],45413341C8FC2DF4_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],45413341C8FC2DF4_F1_DWELLING_0::Des Latent Heat Load [W],45413341C8FC2DF4_F1_DWELLING_0::Des Latent Cool Load [W],45413341C8FC2DF4_F1_DWELLING_0::Des Latent Heat Mass Flow [kg/s],45413341C8FC2DF4_F1_DWELLING_0::Des Latent Cool Mass Flow [kg/s],45413341C8FC2DF4_F1_DWELLING_0::Des Heat Load No DOAS [W],45413341C8FC2DF4_F1_DWELLING_0::Des Sens Cool Load No DOAS [W],45413341C8FC2DF4_F1_DWELLING_0::Des Latent Heat Load No DOAS [W],45413341C8FC2DF4_F1_DWELLING_0::Des Latent Cool Load No DOAS [W],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],45413341C8FC2DF4_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],45413341C8FC2DF4_F2_DWELLING_0::Des Latent Heat Load [W],45413341C8FC2DF4_F2_DWELLING_0::Des Latent Cool Load [W],45413341C8FC2DF4_F2_DWELLING_0::Des Latent Heat Mass Flow [kg/s],45413341C8FC2DF4_F2_DWELLING_0::Des Latent Cool Mass Flow [kg/s],45413341C8FC2DF4_F2_DWELLING_0::Des Heat Load No DOAS [W],45413341C8FC2DF4_F2_DWELLING_0::Des Sens Cool Load No DOAS [W],45413341C8FC2DF4_F2_DWELLING_0::Des Latent Heat Load No DOAS [W],45413341C8FC2DF4_F2_DWELLING_0::Des Latent Cool Load No DOAS [W],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],45413341C8FC2DF4_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],45413341C8FC2DF4_F3_DWELLING_0::Des Latent Heat Load [W],45413341C8FC2DF4_F3_DWELLING_0::Des Latent Cool Load [W],45413341C8FC2DF4_F3_DWELLING_0::Des Latent Heat Mass Flow [kg/s],45413341C8FC2DF4_F3_DWELLING_0::Des Latent Cool Mass Flow [kg/s],45413341C8FC2DF4_F3_DWELLING_0::Des Heat Load No DOAS [W],45413341C8FC2DF4_F3_DWELLING_0::Des Sens Cool Load No DOAS [W],45413341C8FC2DF4_F3_DWELLING_0::Des Latent Heat Load No DOAS [W],45413341C8FC2DF4_F3_DWELLING_0::Des Latent Cool Load No DOAS [W],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],45413341C8FC2DF4_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Load [W],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_1::Des Latent Heat Load [W],45413341C8FC2DF4_F0_DWELLING_1::Des Latent Cool Load [W],45413341C8FC2DF4_F0_DWELLING_1::Des Latent Heat Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_1::Des Latent Cool Mass Flow [kg/s],45413341C8FC2DF4_F0_DWELLING_1::Des Heat Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_1::Des Sens Cool Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_1::Des Latent Heat Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_1::Des Latent Cool Load No DOAS [W],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],45413341C8FC2DF4_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,1.598052E+03,0.000000E+00,5.223117E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999567E+01,3.694552E+01,2.641927E+01,4.544200E+01,1.617336E+03,0.000000E+00,5.286167E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.701291E+01,2.893154E+01,3.925133E+01,1.691120E+03,0.000000E+00,5.527315E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.746716E+01,2.702287E+01,4.728058E+01,3.437272E+03,0.000000E+00,1.123422E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999500E+01,4.393037E+01,2.474774E+01,5.408790E+01,3.752104E+03,0.000000E+00,1.226305E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999463E+01,4.469939E+01,2.285027E+01,6.881584E+01
00:10:00,1.593227E+03,0.000000E+00,5.207344E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999567E+01,3.694822E+01,2.640193E+01,4.567876E+01,1.611812E+03,0.000000E+00,5.268111E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.701620E+01,2.891791E+01,3.944720E+01,1.685393E+03,0.000000E+00,5.508596E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.746989E+01,2.697964E+01,4.752793E+01,3.422770E+03,0.000000E+00,1.118682E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999499E+01,4.392832E+01,2.468628E+01,5.443216E+01,3.734637E+03,0.000000E+00,1.220596E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999463E+01,4.469629E+01,2.277911E+01,6.938183E+01
00:15:00,1.587995E+03,0.000000E+00,5.190244E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695040E+01,2.637688E+01,4.593548E+01,1.605902E+03,0.000000E+00,5.248793E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.701905E+01,2.889682E+01,3.965926E+01,1.679278E+03,0.000000E+00,5.488609E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747226E+01,2.694451E+01,4.774235E+01,3.407756E+03,0.000000E+00,1.113775E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999499E+01,4.392739E+01,2.463555E+01,5.473045E+01,3.716635E+03,0.000000E+00,1.214712E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999462E+01,4.469464E+01,2.272102E+01,6.987604E+01
00:20:00,1.582349E+03,0.000000E+00,5.171790E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695199E+01,2.634509E+01,4.620860E+01,1.599595E+03,0.000000E+00,5.228179E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702144E+01,2.886905E+01,3.988489E+01,1.672762E+03,0.000000E+00,5.467312E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747429E+01,2.691544E+01,4.792855E+01,3.392201E+03,0.000000E+00,1.108691E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999499E+01,4.392761E+01,2.459241E+01,5.499163E+01,3.698058E+03,0.000000E+00,1.208641E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999461E+01,4.469451E+01,2.267335E+01,7.030758E+01
00:25:00,1.576294E+03,0.000000E+00,5.151999E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695301E+01,2.630830E+01,4.649321E+01,1.592898E+03,0.000000E+00,5.206289E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702336E+01,2.883658E+01,4.011934E+01,1.665854E+03,0.000000E+00,5.444733E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747595E+01,2.688974E+01,4.809440E+01,3.376125E+03,0.000000E+00,1.103436E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999498E+01,4.392873E+01,2.455309E+01,5.522833E+01,3.678938E+03,0.000000E+00,1.202391E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999461E+01,4.469556E+01,2.263227E+01,7.069278E+01
00:30:00,1.569822E+03,0.000000E+00,5.130845E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695355E+01,2.626770E+01,4.678608E+01,1.585800E+03,0.000000E+00,5.183093E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702490E+01,2.880150E+01,4.035772E+01,1.658541E+03,0.000000E+00,5.420833E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747734E+01,2.686560E+01,4.824571E+01,3.359497E+03,0.000000E+00,1.098002E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999498E+01,4.393057E+01,2.451523E+01,5.544898E+01,3.659234E+03,0.000000E+00,1.195951E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999461E+01,4.469756E+01,2.259502E+01,7.104432E+01
00:35:00,1.562933E+03,0.000000E+00,5.108328E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695366E+01,2.622463E+01,4.708342E+01,1.578303E+03,0.000000E+00,5.158586E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702609E+01,2.876513E+01,4.059682E+01,1.650824E+03,0.000000E+00,5.395609E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747845E+01,2.684212E+01,4.838562E+01,3.342318E+03,0.000000E+00,1.092387E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999498E+01,4.393290E+01,2.447786E+01,5.565754E+01,3.638948E+03,0.000000E+00,1.189321E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.470020E+01,2.256007E+01,7.136968E+01
00:40:00,1.555627E+03,0.000000E+00,5.084449E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695338E+01,2.617996E+01,4.738264E+01,1.570416E+03,0.000000E+00,5.132810E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702695E+01,2.872812E+01,4.083496E+01,1.642713E+03,0.000000E+00,5.369098E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747929E+01,2.681896E+01,4.851568E+01,3.324598E+03,0.000000E+00,1.086595E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999498E+01,4.393557E+01,2.444067E+01,5.585557E+01,3.618060E+03,0.000000E+00,1.182494E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.470327E+01,2.252664E+01,7.167307E+01
00:45:00,1.547904E+03,0.000000E+00,5.059208E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695275E+01,2.613421E+01,4.768211E+01,1.562133E+03,0.000000E+00,5.105737E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702758E+01,2.869071E+01,4.107133E+01,1.634201E+03,0.000000E+00,5.341277E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.747995E+01,2.679597E+01,4.863675E+01,3.306326E+03,0.000000E+00,1.080624E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.393853E+01,2.440357E+01,5.604392E+01,3.596584E+03,0.000000E+00,1.175475E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.470660E+01,2.249434E+01,7.195693E+01
00:50:00,1.539763E+03,0.000000E+00,5.032601E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695184E+01,2.608767E+01,4.798080E+01,1.553447E+03,0.000000E+00,5.077349E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702802E+01,2.865299E+01,4.130552E+01,1.625282E+03,0.000000E+00,5.312128E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.748046E+01,2.677307E+01,4.874954E+01,3.287497E+03,0.000000E+00,1.074469E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.394172E+01,2.436648E+01,5.622330E+01,3.574524E+03,0.000000E+00,1.168265E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.471015E+01,2.246287E+01,7.222332E+01
00:55:00,1.531203E+03,0.000000E+00,5.004624E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.695066E+01,2.604051E+01,4.827801E+01,1.544357E+03,0.000000E+00,5.047641E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702825E+01,2.861498E+01,4.153730E+01,1.615956E+03,0.000000E+00,5.281646E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.748082E+01,2.675019E+01,4.885466E+01,3.268105E+03,0.000000E+00,1.068131E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.394506E+01,2.432935E+01,5.639440E+01,3.551876E+03,0.000000E+00,1.160863E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.471391E+01,2.243201E+01,7.247393E+01
01:00:00,1.522223E+03,0.000000E+00,4.975273E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.694926E+01,2.599281E+01,4.857334E+01,1.534862E+03,0.000000E+00,5.016606E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702828E+01,2.857660E+01,4.176666E+01,1.606219E+03,0.000000E+00,5.249824E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.748101E+01,2.672728E+01,4.895263E+01,3.248145E+03,0.000000E+00,1.061608E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.394850E+01,2.429213E+01,5.655782E+01,3.528637E+03,0.000000E+00,1.153268E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.471784E+01,2.240159E+01,7.271012E+01
01:05:00,1.522175E+03,0.000000E+00,4.975118E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.694765E+01,2.594446E+01,4.886691E+01,1.535063E+03,0.000000E+00,5.017262E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702811E+01,2.853776E+01,4.199369E+01,1.606491E+03,0.000000E+00,5.250713E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.748104E+01,2.670432E+01,4.904395E+01,3.250236E+03,0.000000E+00,1.062291E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.395200E+01,2.425477E+01,5.671407E+01,3.531167E+03,0.000000E+00,1.154095E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.472189E+01,2.237145E+01,7.293336E+01
01:10:00,1.522084E+03,0.000000E+00,4.974821E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.694622E+01,2.589954E+01,4.913863E+01,1.535213E+03,0.000000E+00,5.017754E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702809E+01,2.850181E+01,4.220299E+01,1.606708E+03,0.000000E+00,5.251421E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.748123E+01,2.668326E+01,4.912883E+01,3.252067E+03,0.000000E+00,1.062890E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.395540E+01,2.421982E+01,5.686132E+01,3.533315E+03,0.000000E+00,1.154797E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.472566E+01,2.234116E+01,7.314627E+01
01:15:00,1.521943E+03,0.000000E+00,4.974358E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999568E+01,3.694509E+01,2.585965E+01,4.937884E+01,1.535304E+03,0.000000E+00,5.018051E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999581E+01,3.702834E+01,2.847038E+01,4.238641E+01,1.606856E+03,0.000000E+00,5.251904E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.748169E+01,2.666462E+01,4.920940E+01,3.253615E+03,0.000000E+00,1.063396E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999497E+01,4.395847E+01,2.418787E+01,5.700161E+01,3.535039E+03,0.000000E+00,1.155360E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.472866E+01,2.231062E+01,7.335003E+01
