surface_class,tilt_reported,surface_name,zone_name,storey_token,cell,stem,mode,run_label,has_fatal,population,_run_summary,_n_upside_down,_n_zones_total,_n_zones_upside_down,_fatal_zone,_fatal_zone_upside_down,_n_top_floor_zones,_n_top_floor_zones_upside_down
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM1,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 1 CEILING 0001_2,WAY/472960972_F1_PERIM1,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 1 CEILING 0001_3,WAY/472960972_F1_PERIM1,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 1 CEILING 0001_4,WAY/472960972_F1_PERIM1,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_1 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_1 STOREY 2 FLOOR 0001_2,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_1 STOREY 2 FLOOR 0001_3,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_1 STOREY 2 FLOOR 0001_4,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM2,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 1 CEILING 0001_2,WAY/472960972_F1_PERIM2,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 1 CEILING 0001_3,WAY/472960972_F1_PERIM2,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 1 CEILING 0001_4,WAY/472960972_F1_PERIM2,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_2 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_2 STOREY 2 FLOOR 0001_2,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_2 STOREY 2 FLOOR 0001_3,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_2 STOREY 2 FLOOR 0001_4,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 2 ROOF 0001_1,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 2 ROOF 0001_2,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 2 ROOF 0001_3,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_1 STOREY 2 ROOF 0001_4,WAY/472960972_F2_PERIM1,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 2 ROOF 0001_1,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 2 ROOF 0001_2,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 2 ROOF 0001_3,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_2 STOREY 2 ROOF 0001_4,WAY/472960972_F2_PERIM2,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_3 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM3,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_3 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM3,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_3 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM3,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_3 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM3,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_4 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM4,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_4 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM4,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_4 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM4,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_4 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM4,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_5 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM5,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_5 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM5,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_5 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM5,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_5 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM5,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_6 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM6,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_6 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM6,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_6 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM6,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_6 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM6,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_7 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM7,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_7 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM7,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_7 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM7,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_7 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM7,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_8 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM8,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_8 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM8,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_8 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM8,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_8 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM8,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_9 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM9,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_9 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM9,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_9 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM9,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_9 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM9,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_10 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM10,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_10 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM10,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_10 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM10,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_10 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM10,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_11 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM11,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_11 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM11,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_11 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM11,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_11 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM11,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_12 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM12,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_12 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM12,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_12 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM12,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_12 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM12,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_13 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM13,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_13 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM13,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_13 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM13,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_13 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM13,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_14 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM14,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_14 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM14,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_14 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM14,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_14 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM14,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_15 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM15,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_15 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM15,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_15 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM15,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_15 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM15,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_16 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM16,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_16 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM16,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_16 STOREY 1 CEILING 0001_1,WAY/472960972_F1_PERIM16,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_16 STOREY 2 FLOOR 0001_1,WAY/472960972_F2_PERIM16,F2,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Roof-Ceiling,180.0,BLOCK PERIMETER_ZONE_17 STOREY 0 CEILING 0001_1,WAY/472960972_F0_PERIM17,F0,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
Floor,0.0,BLOCK PERIMETER_ZONE_17 STOREY 1 FLOOR 0001_1,WAY/472960972_F1_PERIM17,F1,la_rural,way_472960972,auto,target,True,failing_mode,,,,,,,,
